"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","5.435","5.456","5.456","5.435","-0.26%"
"Jan 30, 2020","5.449","5.460","5.460","5.449","0.29%"
"Jan 29, 2020","5.433","5.465","5.465","5.433","-0.09%"
"Jan 28, 2020","5.438","5.480","5.480","5.438","-0.09%"
"Jan 27, 2020","5.443","5.453","5.453","5.443","-0.09%"
"Jan 24, 2020","5.448","5.448","5.458","5.437","0.31%"
"Jan 23, 2020","5.431","5.490","5.490","5.431","0.11%"
"Jan 22, 2020","5.425","5.497","5.497","5.425","-3.91%"
"Jan 21, 2020","5.646","5.522","5.646","5.471","3.12%"
"Jan 20, 2020","5.475","5.486","5.486","5.475","-0.07%"
"Jan 17, 2020","5.479","5.510","5.510","5.449","-2.75%"
"Jan 16, 2020","5.634","5.542","5.634","5.440","3.87%"
"Jan 15, 2020","5.424","5.455","5.485","5.424","-0.46%"
"Jan 14, 2020","5.449","5.449","5.530","5.449","0.50%"
"Jan 13, 2020","5.422","5.453","5.453","5.422","-0.07%"
"Jan 10, 2020","5.426","5.457","5.457","5.426","-0.24%"
"Jan 09, 2020","5.439","5.489","5.489","5.439","-0.60%"
"Jan 08, 2020","5.472","5.572","5.572","5.472","-0.07%"
"Jan 07, 2020","5.476","5.526","5.576","5.476","-0.98%"
"Jan 06, 2020","5.530","5.629","5.629","5.530","-0.07%"
"Jan 03, 2020","5.534","5.583","5.583","5.524","-0.20%"
"Jan 02, 2020","5.545","5.574","5.574","5.545","-0.05%"
"Jan 01, 2020","5.548","5.597","5.597","5.548","-0.25%"
