"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","6.999","7.024","7.028","6.999","0.00%"
"Jan 30, 2020","6.999","7.040","7.040","6.999","-1.70%"
"Jan 29, 2020","7.120","7.027","7.120","7.027","1.71%"
"Jan 28, 2020","7.000","7.000","7.000","7.000","0.07%"
"Jan 27, 2020","6.995","7.066","7.066","6.995","-0.63%"
"Jan 24, 2020","7.039","7.042","7.042","7.039","-0.97%"
"Jan 23, 2020","7.108","7.108","7.108","7.108","-0.14%"
"Jan 22, 2020","7.118","7.118","7.118","7.118","1.74%"
"Jan 21, 2020","6.996","6.996","6.996","6.996","-2.02%"
"Jan 20, 2020","7.140","7.140","7.140","7.140","0.17%"
"Jan 17, 2020","7.128","7.128","7.128","7.128","0.14%"
"Jan 16, 2020","7.118","7.118","7.118","7.118","-0.35%"
"Jan 15, 2020","7.143","7.143","7.143","7.143","-1.33%"
"Jan 14, 2020","7.239","7.239","7.239","7.239","1.00%"
"Jan 13, 2020","7.167","7.167","7.167","7.167","1.54%"
"Jan 10, 2020","7.058","7.058","7.058","7.058","-0.14%"
"Jan 09, 2020","7.068","7.056","7.068","7.056","-0.94%"
"Jan 08, 2020","7.135","7.027","7.135","7.027","1.94%"
"Jan 07, 2020","6.999","7.007","7.066","6.999","-2.14%"
"Jan 06, 2020","7.152","7.152","7.152","7.152","2.11%"
"Jan 03, 2020","7.004","7.037","7.037","7.004","0.07%"
"Jan 02, 2020","6.999","7.061","7.061","6.999","-0.07%"
"Jan 01, 2020","7.004","7.004","7.004","7.004","-1.37%"
