"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","6.605","6.599","6.644","6.589","0.56%"
"Jan 30, 2020","6.568","6.590","6.590","6.561","0.02%"
"Jan 29, 2020","6.567","6.645","6.645","6.567","-0.15%"
"Jan 28, 2020","6.577","6.567","6.623","6.567","0.38%"
"Jan 27, 2020","6.552","6.557","6.576","6.538","-0.18%"
"Jan 24, 2020","6.564","6.665","6.665","6.564","-0.21%"
"Jan 23, 2020","6.578","6.626","6.627","6.576","-0.68%"
"Jan 22, 2020","6.623","6.613","6.642","6.608","0.14%"
"Jan 21, 2020","6.614","6.627","6.637","6.608","-0.26%"
"Jan 20, 2020","6.631","6.628","6.649","6.622","0.11%"
"Jan 17, 2020","6.624","6.686","6.686","6.624","-0.66%"
"Jan 16, 2020","6.668","6.687","6.710","6.661","-0.28%"
"Jan 15, 2020","6.687","6.766","6.766","6.687","-0.62%"
"Jan 14, 2020","6.729","6.746","6.756","6.714","1.11%"
"Jan 13, 2020","6.655","6.653","6.678","6.647","0.27%"
"Jan 10, 2020","6.637","6.649","6.649","6.620","1.04%"
"Jan 09, 2020","6.569","6.601","6.621","6.567","-0.82%"
"Jan 08, 2020","6.623","6.668","6.668","6.609","0.08%"
"Jan 07, 2020","6.618","6.631","6.641","6.598","-0.20%"
"Jan 06, 2020","6.631","6.564","6.641","6.535","1.80%"
"Jan 03, 2020","6.514","6.554","6.554","6.473","-0.53%"
"Jan 02, 2020","6.549","6.613","6.613","6.549","-0.56%"
"Jan 01, 2020","6.586","6.659","6.659","6.582","-0.74%"
