"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","6.212","6.252","6.252","6.209","0.23%"
"Jan 30, 2020","6.198","6.232","6.249","6.198","-0.29%"
"Jan 29, 2020","6.216","6.265","6.265","6.210","-0.02%"
"Jan 28, 2020","6.217","6.246","6.246","6.217","0.10%"
"Jan 27, 2020","6.211","6.213","6.259","6.207","-0.22%"
"Jan 24, 2020","6.225","6.273","6.273","6.225","-0.32%"
"Jan 23, 2020","6.245","6.276","6.276","6.245","-0.35%"
"Jan 22, 2020","6.267","6.306","6.306","6.261","0.05%"
"Jan 21, 2020","6.264","6.285","6.291","6.261","-0.13%"
"Jan 20, 2020","6.272","6.309","6.309","6.268","0.05%"
"Jan 17, 2020","6.269","6.286","6.290","6.262","-0.37%"
"Jan 16, 2020","6.292","6.306","6.347","6.292","-0.17%"
"Jan 15, 2020","6.303","6.344","6.351","6.303","-0.55%"
"Jan 14, 2020","6.338","6.416","6.416","6.338","0.68%"
"Jan 13, 2020","6.295","6.315","6.319","6.295","-0.02%"
"Jan 10, 2020","6.296","6.323","6.323","6.296","0.38%"
"Jan 09, 2020","6.272","6.309","6.309","6.272","-0.60%"
"Jan 08, 2020","6.310","6.337","6.337","6.293","0.16%"
"Jan 07, 2020","6.300","6.388","6.388","6.300","-0.40%"
"Jan 06, 2020","6.325","6.423","6.423","6.305","0.89%"
"Jan 03, 2020","6.269","6.306","6.306","6.252","-0.57%"
"Jan 02, 2020","6.305","6.325","6.342","6.305","-0.13%"
"Jan 01, 2020","6.313","6.376","6.376","6.309","-0.69%"
