"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","7.103","7.103","7.111","7.103","-0.59%"
"Jan 30, 2020","7.145","7.145","7.145","7.145","0.00%"
"Jan 29, 2020","7.145","7.145","7.145","7.145","0.76%"
"Jan 28, 2020","7.091","7.106","7.106","7.091","-0.41%"
"Jan 27, 2020","7.120","7.102","7.120","7.102","-0.06%"
"Jan 24, 2020","7.124","7.119","7.124","7.118","-0.10%"
"Jan 23, 2020","7.131","7.131","7.131","7.131","0.00%"
"Jan 22, 2020","7.131","7.153","7.153","7.131","0.00%"
"Jan 21, 2020","7.131","7.166","7.166","7.131","-0.17%"
"Jan 20, 2020","7.143","7.170","7.170","7.143","-0.17%"
"Jan 17, 2020","7.155","7.187","7.187","7.144","0.03%"
"Jan 16, 2020","7.153","7.174","7.174","7.153","0.21%"
"Jan 15, 2020","7.138","7.138","7.138","7.138","-1.15%"
"Jan 14, 2020","7.221","7.221","7.221","7.221","0.49%"
"Jan 13, 2020","7.186","7.179","7.186","7.170","0.45%"
"Jan 10, 2020","7.154","7.158","7.170","7.146","0.66%"
"Jan 09, 2020","7.107","7.086","7.116","7.086","-0.03%"
"Jan 08, 2020","7.109","7.109","7.109","7.109","0.24%"
"Jan 07, 2020","7.092","7.092","7.092","7.092","-0.59%"
"Jan 06, 2020","7.134","7.134","7.134","7.134","0.31%"
"Jan 03, 2020","7.112","7.112","7.112","7.112","-0.27%"
"Jan 02, 2020","7.131","7.095","7.131","7.095","0.00%"
"Jan 01, 2020","7.131","7.131","7.131","7.131","0.10%"
