"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","7.000","6.979","7.000","6.975","0.03%"
"Jan 30, 2020","6.998","6.998","6.998","6.998","0.34%"
"Jan 29, 2020","6.974","6.974","6.974","6.974","0.23%"
"Jan 28, 2020","6.958","6.958","6.958","6.958","0.35%"
"Jan 27, 2020","6.934","6.947","6.947","6.934","-0.10%"
"Jan 24, 2020","6.941","6.941","6.941","6.941","-0.20%"
"Jan 23, 2020","6.955","6.983","7.010","6.955","-0.90%"
"Jan 22, 2020","7.018","7.018","7.018","7.018","0.04%"
"Jan 21, 2020","7.015","7.015","7.015","7.015","0.43%"
"Jan 20, 2020","6.985","7.018","7.028","6.985","-0.63%"
"Jan 17, 2020","7.029","6.987","7.029","6.985","-0.65%"
"Jan 16, 2020","7.075","7.075","7.075","7.075","-0.27%"
"Jan 15, 2020","7.094","7.094","7.094","7.094","-0.38%"
"Jan 14, 2020","7.121","7.121","7.121","7.121","1.01%"
"Jan 13, 2020","7.050","7.002","7.050","7.002","0.13%"
"Jan 10, 2020","7.041","7.041","7.041","7.041","0.50%"
"Jan 09, 2020","7.006","7.006","7.006","7.006","-0.30%"
"Jan 08, 2020","7.027","6.946","7.027","6.946","0.73%"
"Jan 07, 2020","6.976","6.976","6.976","6.976","-0.23%"
"Jan 06, 2020","6.992","6.973","6.992","6.953","1.82%"
"Jan 03, 2020","6.867","6.887","6.887","6.867","0.06%"
"Jan 02, 2020","6.863","6.894","6.921","6.863","0.12%"
"Jan 01, 2020","6.855","6.908","6.921","6.855","-0.39%"
