"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","6.844","6.852","6.873","6.814","0.47%"
"Jan 30, 2020","6.812","6.869","6.869","6.803","-0.01%"
"Jan 29, 2020","6.813","6.848","6.848","6.805","-0.28%"
"Jan 28, 2020","6.832","6.849","6.849","6.811","0.53%"
"Jan 27, 2020","6.796","6.804","6.833","6.793","-0.28%"
"Jan 24, 2020","6.815","6.891","6.891","6.808","-0.28%"
"Jan 23, 2020","6.834","6.891","6.891","6.834","-0.48%"
"Jan 22, 2020","6.867","6.899","6.899","6.864","0.00%"
"Jan 21, 2020","6.867","6.891","6.891","6.858","0.00%"
"Jan 20, 2020","6.867","6.941","6.941","6.862","-0.07%"
"Jan 17, 2020","6.872","6.990","6.990","6.864","-0.69%"
"Jan 16, 2020","6.920","6.925","6.950","6.920","-0.19%"
"Jan 15, 2020","6.933","6.974","6.991","6.932","-0.47%"
"Jan 14, 2020","6.966","7.032","7.032","6.956","1.06%"
"Jan 13, 2020","6.893","6.940","6.940","6.891","0.38%"
"Jan 10, 2020","6.867","6.893","6.893","6.860","0.66%"
"Jan 09, 2020","6.822","6.837","6.852","6.817","-0.35%"
"Jan 08, 2020","6.846","6.869","6.902","6.840","0.10%"
"Jan 07, 2020","6.839","6.853","6.967","6.829","-0.09%"
"Jan 06, 2020","6.845","6.869","6.886","6.821","1.17%"
"Jan 03, 2020","6.766","6.797","6.829","6.745","-0.29%"
"Jan 02, 2020","6.786","6.813","6.829","6.786","-0.31%"
"Jan 01, 2020","6.807","6.876","6.876","6.807","-1.13%"
