"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","6.817","6.846","6.846","6.817","0.26%"
"Jan 30, 2020","6.799","6.804","6.839","6.799","-0.28%"
"Jan 29, 2020","6.818","6.844","6.844","6.817","-0.18%"
"Jan 28, 2020","6.830","6.901","6.901","6.825","-0.03%"
"Jan 27, 2020","6.832","6.819","6.836","6.819","0.06%"
"Jan 24, 2020","6.828","6.888","6.888","6.828","-0.26%"
"Jan 23, 2020","6.846","6.862","6.862","6.846","-0.23%"
"Jan 22, 2020","6.862","6.864","6.890","6.855","0.09%"
"Jan 21, 2020","6.856","6.866","6.866","6.844","-0.03%"
"Jan 20, 2020","6.858","6.882","6.891","6.858","0.01%"
"Jan 17, 2020","6.857","6.960","6.960","6.853","-0.22%"
"Jan 16, 2020","6.872","6.936","6.936","6.872","-0.30%"
"Jan 15, 2020","6.893","6.927","6.953","6.893","-0.27%"
"Jan 14, 2020","6.912","7.006","7.006","6.912","0.70%"
"Jan 13, 2020","6.864","6.893","6.945","6.864","0.19%"
"Jan 10, 2020","6.851","6.868","6.963","6.851","0.72%"
"Jan 09, 2020","6.802","6.843","6.912","6.802","-0.61%"
"Jan 08, 2020","6.844","6.921","6.921","6.842","0.12%"
"Jan 07, 2020","6.836","6.879","6.913","6.836","-0.20%"
"Jan 06, 2020","6.850","6.879","6.905","6.845","1.08%"
"Jan 03, 2020","6.777","6.828","6.828","6.768","-0.40%"
"Jan 02, 2020","6.804","6.829","6.923","6.804","-0.15%"
"Jan 01, 2020","6.814","6.881","6.881","6.814","-0.97%"
