"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","5.240","5.240","5.250","5.220","0.19%"
"Jan 30, 2020","5.230","5.240","5.250","5.220","0.19%"
"Jan 29, 2020","5.220","5.210","5.220","5.200","0.19%"
"Jan 28, 2020","5.210","5.210","5.210","5.200","0.19%"
"Jan 27, 2020","5.200","5.210","5.230","5.200","0.00%"
"Jan 24, 2020","5.200","5.230","5.230","5.200","0.00%"
"Jan 23, 2020","5.200","5.240","5.240","5.200","-0.19%"
"Jan 22, 2020","5.210","5.190","5.240","5.190","0.19%"
"Jan 21, 2020","5.200","5.200","5.220","5.200","-0.19%"
"Jan 20, 2020","5.210","5.210","5.230","5.190","0.19%"
"Jan 17, 2020","5.200","5.220","5.230","5.200","-0.19%"
"Jan 16, 2020","5.210","5.230","5.240","5.190","0.19%"
"Jan 15, 2020","5.200","5.180","5.200","5.180","0.00%"
"Jan 14, 2020","5.200","5.200","5.220","5.190","0.00%"
"Jan 13, 2020","5.200","5.200","5.220","5.200","0.00%"
"Jan 10, 2020","5.200","5.200","5.220","5.180","0.00%"
"Jan 09, 2020","5.200","5.180","5.200","5.180","0.39%"
"Jan 08, 2020","5.180","5.180","5.210","5.180","-0.38%"
"Jan 07, 2020","5.200","5.200","5.230","5.180","0.00%"
"Jan 06, 2020","5.200","5.200","5.220","5.200","0.00%"
"Jan 03, 2020","5.200","5.200","5.210","5.170","0.00%"
"Jan 02, 2020","5.200","5.210","5.230","5.190","-0.38%"
"Jan 01, 2020","5.220","5.200","5.220","5.200","0.00%"
