"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","6.358","6.421","6.421","6.341","0.49%"
"Jan 30, 2020","6.327","6.377","6.377","6.324","-0.19%"
"Jan 29, 2020","6.339","6.381","6.381","6.339","-0.31%"
"Jan 28, 2020","6.359","6.367","6.378","6.342","0.30%"
"Jan 27, 2020","6.340","6.340","6.357","6.335","-0.28%"
"Jan 24, 2020","6.358","6.393","6.393","6.357","-0.33%"
"Jan 23, 2020","6.379","6.413","6.413","6.379","-0.53%"
"Jan 22, 2020","6.413","6.436","6.436","6.410","-0.02%"
"Jan 21, 2020","6.414","6.424","6.436","6.392","0.00%"
"Jan 20, 2020","6.414","6.442","6.442","6.399","0.20%"
"Jan 17, 2020","6.401","6.404","6.418","6.391","-0.45%"
"Jan 16, 2020","6.430","6.444","6.464","6.428","-0.23%"
"Jan 15, 2020","6.445","6.473","6.473","6.434","-0.36%"
"Jan 14, 2020","6.468","6.544","6.544","6.465","0.56%"
"Jan 13, 2020","6.432","6.460","6.460","6.424","0.08%"
"Jan 10, 2020","6.427","6.500","6.503","6.416","0.94%"
"Jan 09, 2020","6.367","6.384","6.396","6.367","-0.58%"
"Jan 08, 2020","6.404","6.457","6.457","6.391","-0.09%"
"Jan 07, 2020","6.410","6.434","6.434","6.410","-0.40%"
"Jan 06, 2020","6.436","6.402","6.455","6.380","1.18%"
"Jan 03, 2020","6.361","6.339","6.361","6.324","-0.59%"
"Jan 02, 2020","6.399","6.423","6.431","6.399","-0.14%"
"Jan 01, 2020","6.408","6.459","6.459","6.408","-0.90%"
