"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","6.854","6.847","6.857","6.825","0.60%"
"Jan 30, 2020","6.813","6.813","6.830","6.800","-0.03%"
"Jan 29, 2020","6.815","6.845","6.845","6.808","0.09%"
"Jan 28, 2020","6.809","6.786","6.825","6.781","0.37%"
"Jan 27, 2020","6.784","6.786","6.807","6.780","-0.25%"
"Jan 24, 2020","6.801","6.838","6.838","6.789","-0.34%"
"Jan 23, 2020","6.824","6.858","6.862","6.824","-0.64%"
"Jan 22, 2020","6.868","6.853","6.876","6.850","0.15%"
"Jan 21, 2020","6.858","6.891","6.891","6.837","-0.07%"
"Jan 20, 2020","6.863","6.876","6.876","6.843","0.22%"
"Jan 17, 2020","6.848","6.919","6.919","6.839","-0.48%"
"Jan 16, 2020","6.881","6.899","6.914","6.877","-0.20%"
"Jan 15, 2020","6.895","6.929","6.929","6.893","-0.39%"
"Jan 14, 2020","6.922","6.966","6.966","6.905","1.04%"
"Jan 13, 2020","6.851","6.921","6.921","6.847","0.04%"
"Jan 10, 2020","6.848","6.855","6.862","6.843","0.82%"
"Jan 09, 2020","6.792","6.795","6.824","6.786","-0.43%"
"Jan 08, 2020","6.821","6.863","6.863","6.809","-0.03%"
"Jan 07, 2020","6.823","6.824","6.840","6.804","-0.23%"
"Jan 06, 2020","6.839","6.803","6.844","6.774","1.35%"
"Jan 03, 2020","6.748","6.745","6.774","6.704","0.52%"
"Jan 02, 2020","6.713","6.738","6.751","6.713","-0.22%"
"Jan 01, 2020","6.728","6.804","6.804","6.728","-0.83%"
