"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","6.401","6.445","6.445","6.384","0.55%"
"Jan 30, 2020","6.366","6.395","6.395","6.366","-0.09%"
"Jan 29, 2020","6.372","6.440","6.440","6.372","-0.19%"
"Jan 28, 2020","6.384","6.391","6.416","6.382","0.19%"
"Jan 27, 2020","6.372","6.391","6.391","6.371","-0.11%"
"Jan 24, 2020","6.379","6.428","6.429","6.379","-0.31%"
"Jan 23, 2020","6.399","6.429","6.429","6.399","-0.19%"
"Jan 22, 2020","6.411","6.540","6.540","6.411","0.11%"
"Jan 21, 2020","6.404","6.423","6.426","6.396","-0.03%"
"Jan 20, 2020","6.406","6.404","6.428","6.396","0.27%"
"Jan 17, 2020","6.389","6.416","6.428","6.379","-0.23%"
"Jan 16, 2020","6.404","6.428","6.440","6.404","-0.37%"
"Jan 15, 2020","6.428","6.477","6.477","6.428","-0.39%"
"Jan 14, 2020","6.453","6.538","6.538","6.453","0.62%"
"Jan 13, 2020","6.413","6.453","6.465","6.413","0.16%"
"Jan 10, 2020","6.403","6.514","6.514","6.403","0.93%"
"Jan 09, 2020","6.344","6.391","6.452","6.344","-0.70%"
"Jan 08, 2020","6.389","6.563","6.563","6.389","-0.41%"
"Jan 07, 2020","6.415","6.476","6.476","6.411","-0.47%"
"Jan 06, 2020","6.445","6.388","6.455","6.376","1.67%"
"Jan 03, 2020","6.339","6.379","6.379","6.321","-1.31%"
"Jan 02, 2020","6.423","6.452","6.452","6.420","-0.11%"
"Jan 01, 2020","6.430","6.488","6.488","6.430","-0.73%"
