"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","5.671","5.780","5.780","5.664","-0.07%"
"Jan 30, 2020","5.675","5.711","5.711","5.675","-0.05%"
"Jan 29, 2020","5.678","5.685","5.685","5.678","-0.02%"
"Jan 28, 2020","5.679","5.701","5.708","5.679","0.11%"
"Jan 27, 2020","5.673","5.732","5.732","5.673","-0.53%"
"Jan 24, 2020","5.703","5.739","5.739","5.703","-0.68%"
"Jan 23, 2020","5.742","5.756","5.778","5.739","-0.14%"
"Jan 22, 2020","5.750","5.779","5.779","5.743","-0.16%"
"Jan 21, 2020","5.759","5.759","5.780","5.751","0.24%"
"Jan 20, 2020","5.745","5.781","5.817","5.745","-0.03%"
"Jan 17, 2020","5.747","5.817","5.817","5.747","0.70%"
"Jan 16, 2020","5.707","5.743","5.743","5.707","-0.02%"
"Jan 15, 2020","5.708","5.730","5.730","5.708","-0.04%"
"Jan 14, 2020","5.710","5.780","5.780","5.710","0.37%"
"Jan 13, 2020","5.689","5.718","5.732","5.689","-0.02%"
"Jan 10, 2020","5.690","5.753","5.753","5.690","-0.05%"
"Jan 09, 2020","5.693","5.755","5.755","5.693","-0.61%"
"Jan 08, 2020","5.728","5.791","5.791","5.728","-0.26%"
"Jan 07, 2020","5.743","5.778","5.778","5.743","-0.61%"
"Jan 06, 2020","5.778","5.785","5.785","5.758","0.35%"
"Jan 03, 2020","5.758","5.779","5.779","5.724","-0.40%"
"Jan 02, 2020","5.781","5.774","5.829","5.774","0.10%"
"Jan 01, 2020","5.775","5.830","5.830","5.775","-0.02%"
