"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","7.084","7.139","7.139","7.084","0.43%"
"Jan 30, 2020","7.054","7.133","7.133","7.054","-0.61%"
"Jan 29, 2020","7.097","7.097","7.097","7.097","0.81%"
"Jan 28, 2020","7.040","7.115","7.115","7.040","0.23%"
"Jan 27, 2020","7.024","7.093","7.093","7.024","-0.28%"
"Jan 24, 2020","7.044","7.098","7.098","7.044","-0.25%"
"Jan 23, 2020","7.062","7.096","7.115","7.062","-0.59%"
"Jan 22, 2020","7.104","7.137","7.142","7.104","0.06%"
"Jan 21, 2020","7.100","7.115","7.115","7.100","0.54%"
"Jan 20, 2020","7.062","7.062","7.062","7.062","-0.54%"
"Jan 17, 2020","7.100","7.159","7.159","7.100","0.03%"
"Jan 16, 2020","7.098","7.098","7.098","7.098","-0.66%"
"Jan 15, 2020","7.145","7.145","7.145","7.145","-0.78%"
"Jan 14, 2020","7.201","7.201","7.201","7.201","1.37%"
"Jan 13, 2020","7.104","7.104","7.132","7.100","0.45%"
"Jan 10, 2020","7.072","7.094","7.096","7.072","0.77%"
"Jan 09, 2020","7.018","7.055","7.073","6.996","-0.85%"
"Jan 08, 2020","7.078","7.067","7.078","7.067","0.16%"
"Jan 07, 2020","7.067","7.061","7.083","7.061","-0.18%"
"Jan 06, 2020","7.080","7.105","7.105","7.080","1.24%"
"Jan 03, 2020","6.993","6.993","6.993","6.993","0.19%"
"Jan 02, 2020","6.980","6.980","6.980","6.980","0.00%"
"Jan 01, 2020","6.980","6.980","6.980","6.980","-0.82%"
