"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","6.599","6.577","6.600","6.575","0.63%"
"Jan 30, 2020","6.558","6.553","6.565","6.553","-0.15%"
"Jan 29, 2020","6.568","6.590","6.594","6.563","-0.11%"
"Jan 28, 2020","6.575","6.562","6.581","6.549","0.37%"
"Jan 27, 2020","6.551","6.549","6.572","6.547","-0.41%"
"Jan 24, 2020","6.578","6.599","6.602","6.569","-0.27%"
"Jan 23, 2020","6.596","6.623","6.632","6.594","-0.59%"
"Jan 22, 2020","6.635","6.629","6.643","6.627","0.03%"
"Jan 21, 2020","6.633","6.635","6.644","6.618","-0.09%"
"Jan 20, 2020","6.639","6.639","6.647","6.625","0.26%"
"Jan 17, 2020","6.622","6.601","6.626","6.601","0.36%"
"Jan 16, 2020","6.598","6.612","6.643","6.598","-0.38%"
"Jan 15, 2020","6.623","6.660","6.665","6.623","-0.59%"
"Jan 14, 2020","6.662","6.692","6.692","6.648","1.06%"
"Jan 13, 2020","6.592","6.588","6.621","6.581","0.11%"
"Jan 10, 2020","6.585","6.583","6.595","6.576","0.94%"
"Jan 09, 2020","6.524","6.526","6.554","6.520","-0.50%"
"Jan 08, 2020","6.557","6.578","6.578","6.544","0.11%"
"Jan 07, 2020","6.550","6.547","6.563","6.528","-0.23%"
"Jan 06, 2020","6.565","6.534","6.567","6.531","0.84%"
"Jan 03, 2020","6.510","6.494","6.520","6.485","0.12%"
"Jan 02, 2020","6.502","6.498","6.512","6.489","0.02%"
"Jan 01, 2020","6.501","6.548","6.548","6.501","-0.81%"
