"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","6.917","6.937","6.943","6.905","0.22%"
"Jan 30, 2020","6.902","6.902","6.947","6.901","0.19%"
"Jan 29, 2020","6.889","6.889","6.889","6.889","-0.10%"
"Jan 28, 2020","6.896","6.928","6.928","6.896","0.19%"
"Jan 27, 2020","6.883","6.896","6.902","6.883","-0.09%"
"Jan 24, 2020","6.889","6.928","6.928","6.889","-0.06%"
"Jan 23, 2020","6.893","6.940","6.940","6.893","-0.46%"
"Jan 22, 2020","6.925","6.927","6.985","6.921","0.30%"
"Jan 21, 2020","6.904","6.934","6.940","6.904","-0.19%"
"Jan 20, 2020","6.917","6.959","6.959","6.917","-0.19%"
"Jan 17, 2020","6.930","6.992","6.992","6.930","-0.42%"
"Jan 16, 2020","6.959","6.991","6.991","6.959","-0.24%"
"Jan 15, 2020","6.976","7.030","7.030","6.976","-0.77%"
"Jan 14, 2020","7.030","7.050","7.056","7.030","0.83%"
"Jan 13, 2020","6.972","7.004","7.004","6.972","0.71%"
"Jan 10, 2020","6.923","6.923","6.923","6.923","0.58%"
"Jan 09, 2020","6.883","6.927","6.927","6.883","-0.58%"
"Jan 08, 2020","6.923","6.953","6.953","6.921","0.13%"
"Jan 07, 2020","6.914","6.966","6.966","6.914","-0.06%"
"Jan 06, 2020","6.918","6.946","6.946","6.914","0.79%"
"Jan 03, 2020","6.864","6.889","6.889","6.857","0.13%"
"Jan 02, 2020","6.855","6.895","6.895","6.855","-0.22%"
"Jan 01, 2020","6.870","6.927","6.927","6.870","-0.81%"
