"Date","Price","Open","High","Low","Change %"
"Jan 31, 2020","7.095","7.107","7.165","7.081","0.21%"
"Jan 30, 2020","7.080","7.084","7.095","7.064","0.03%"
"Jan 29, 2020","7.078","7.114","7.114","7.078","0.14%"
"Jan 28, 2020","7.068","7.058","7.093","7.050","0.40%"
"Jan 27, 2020","7.040","7.053","7.093","7.035","-0.26%"
"Jan 24, 2020","7.058","7.087","7.087","7.053","-0.27%"
"Jan 23, 2020","7.077","7.117","7.117","7.077","-0.51%"
"Jan 22, 2020","7.113","7.111","7.123","7.088","0.35%"
"Jan 21, 2020","7.088","7.088","7.097","7.081","-0.10%"
"Jan 20, 2020","7.095","7.111","7.111","7.094","-0.01%"
"Jan 17, 2020","7.096","7.129","7.141","7.088","-0.35%"
"Jan 16, 2020","7.121","7.181","7.181","7.119","-0.20%"
"Jan 15, 2020","7.135","7.164","7.182","7.129","-0.57%"
"Jan 14, 2020","7.176","7.200","7.200","7.170","1.14%"
"Jan 13, 2020","7.095","7.095","7.145","7.095","0.28%"
"Jan 10, 2020","7.075","7.118","7.118","7.072","0.86%"
"Jan 09, 2020","7.015","7.026","7.058","7.012","-0.50%"
"Jan 08, 2020","7.050","7.067","7.072","7.043","0.17%"
"Jan 07, 2020","7.038","7.072","7.095","7.038","-0.41%"
"Jan 06, 2020","7.067","7.066","7.096","7.052","1.48%"
"Jan 03, 2020","6.964","6.981","7.038","6.964","0.00%"
"Jan 02, 2020","6.964","6.970","7.046","6.964","0.07%"
"Jan 01, 2020","6.959","7.016","7.027","6.959","-0.97%"
